chars,Agent K,James Edwards / Agent J,Dr. Laurel Weaver / Agent L,Edgar / The Bug,Chief Zed,Jack Jeebs,Beatrice,Gentle Rosenburg the Arquillian Jeweler,Van driver,Arquillian,INS agent Janus,Agent D,2nd Lt. Jake Jensen,Mikey,Perp,Zap-Em Man,Mr. Redgick,Mrs. Redgick,Passport Officer,News Vendor,Cop in Morgue,Police Inspector,Tow Truck Driver,Morgue Attendant,MIB Agent Bee,Cook,INS Agent 1 ,INS Agent 2,NYPD sergeant,Security Guard,Mrs. Edelson,Baseball Player,Alien Father,Alien Son,Frank the Pug,Worm Guy 1,Worm Guy 2,Worm Guy 3,Worm Guy 4
Agent K,0,2,5,3,2,5,5,,5,,5,2,,,,,5,5,5,,,5,,,5,,5,5,,,,,,,5,5,5,5,5
James Edwards / Agent J,2,0,4,3,5,5,5,,,,,,3,,,,5,5,,,,5,,,5,,,,5,5,5,,,,5,,,,
Dr. Laurel Weaver / Agent L,5,4,0,3,,,,5,,5,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
Edgar / The Bug,3,3,3,0,,,1,,,3,,,,,,3,,,,3,,,3,3,,5,,,,,,,,,,,,,
Chief Zed,2,5,,,0,,,,,,,,5,,,,,,,,,,,,5,,,,,,,,,,,,,,
Jack Jeebs,5,5,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatrice,5,5,0,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentle Rosenburg the Arquillian Jeweler,,,5,3,,,,0,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van driver,,,,,,,,,0,,5,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,
Arquillian,,,5,3,,,,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS agent Janus,5,,,,,,,,5,,0,5,,,,,,,,,,,,,,,5,5,,,,,,,,,,,
Agent D,2,,,,,,,,,,5,0,,,,,,,,,,,,,,,5,5,,,,,,,,,,,
2nd Lt. Jake Jensen,,3,,,5,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikey,3,,,,,,,,,,,5,,0,,,,,,,,,,,,,,,,,,,,,,,,,
Perp,,3,,,,,,,,,,,,,0,,,,,,,,,,,,,,5,,,,,,,,,,
Zap-Em Man,,,,3,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
Mr. Redgick,5,5,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,
Mrs. Redgick,5,5,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,
Passport Officer,5,,,,,,,,,,,5,,,,,,,0,,,5,,,,,5,5,,,,,,,,,,,
News Vendor,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
Cop in Morgue,,,5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,
Police Inspector,5,5,,,,,,,,,,,,,,,,,5,,,0,,,,,,,5,,,,,,,,,,
Tow Truck Driver,,,,3,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
Morgue Attendant,,,,3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
MIB Agent Bee,5,5,,,5,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Cook,,,,5,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
INS Agent 1,5,,,,,,,,5,,,5,,,,,,,5,,,,,,,,0,5,,,,,,,,,,,
INS Agent 2,5,,,,,,,,5,,,5,,,,,,,5,,,,,,,,5,0,,,,,,,,,,,
NYPD sergeant,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,
Security Guard,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
Mrs. Edelson,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Baseball Player,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alien Father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,
Alien Son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,
Frank the Pug (voice),2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
Worm Guy 1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2
Worm Guy 2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,2,2
Worm Guy 3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,2
Worm Guy 4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,0
