chars,Harry Potter,Ron Weasley,Hermione Granger,Albus Dumbledore,Draco Malfoy,Rubeus Hagrid,Severus Snape,Minerva McGonagall,Vernon Dursley,Professor Quirrell,Petunia Dursley,Garrick Ollivander,Argus Filch,Neville Longbottom,Oliver Wood,Filius Flitwick,Goblin Bank Teller,Dudley Dursley,Fred Weasley,George Weasley,Nearly Headless Nick,Percy Weasley,Dean Thomas,Seamus Finnigan,Vincent Crabbe,Gregory Goyle,Rolanda Hooch,Molly Weasley,Ginny Weasley,Lee Jordan,Griphook,James Potter,Lily Potter,Fat Lady,He Who Must Not Be Named,The Grey Lady,The Bloody Baron,Station Guard,Dimpled Woman on Train,The Sorting Hat,Fat Friar,Tom,Firenze ,Susan Bones,Diagon Alley Boy,Angelina Johnson,Alicia Spinnet,Katie Bell,Marcus Flint,Terrence Higgs,Baby Harry Potter,Goblin ,Child at Zoo ,Amanda ,Alice ,Augusta Longbottom ,Dedalus Diggle ,Girl in Potion Class ,Septima Vector 
Harry Potter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ron Weasley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermione Granger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albus Dumbledore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Draco Malfoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubeus Hagrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Severus Snape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minerva McGonagall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Dursley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Professor Quirrell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
