chars,Simba,Mufasa,Scar,Zazu,Ed,Shenzi,Rafiki,Nala,Timon,Sarafina,Banzai,Pumbaa,Sarabi
Simba,0,2,3,2,3,3,2,2,2,2,3,2,2
Mufasa,2,0,3,2,3,3,2,0,0,2,3,0,2
Scar,3,3,0,3,2,2,3,3,3,3,2,3,3
Zazu,2,2,3,0,3,3,2,2,2,2,3,2,2
Ed,3,3,2,3,0,2,3,3,3,3,2,3,3
Shenzi,3,3,2,3,2,0,3,3,3,3,2,3,3
Rafiki,2,2,3,2,3,3,0,2,2,2,3,2,2
Nala,2,2,3,2,3,3,2,0,2,2,3,2,2
Timon,2,0,3,2,3,3,2,2,0,0,3,2,0
Sarafina,2,2,3,2,3,3,2,2,0,0,3,0,2
Banzai,3,3,2,3,2,2,3,3,3,3,0,3,3
Pumbaa,2,0,3,2,3,3,2,2,2,0,3,0,0
Sarabi,2,2,3,2,3,3,2,2,0,2,3,0,0
