chars,Neo,Morpheus,Trinity,Agent Smith,Cypher,Oracle,Tank,Agent Brown,Agent Jones,Apoc,Switch,Dozer,Mouse,DuJour,Rhineheart,Choi,Priestess,Spoon Boy,Potential,Potential,Potential,Potential,Potential,Lieutenant,FedEx Man,Businessman,Woman in Red,Old Man,Blind Man,Security Guard,Cop Who Captures Neo,Cop,Parking Cop
Neo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morpheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cypher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent Jones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apoc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dozer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuJour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhineheart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Choi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priestess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spoon Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lieutenant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FedEx Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Businessman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman in Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blind Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cop Who Captures Neo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parking Cop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
