chars,Agent K,James Edwards / Agent J,Dr. Laurel Weaver / Agent L,Edgar / The Bug,Chief Zed,Jack Jeebs,Beatrice,Gentle Rosenburg the Arquillian Jeweler,Van driver,Arquillian,INS agent Janus,Agent D,2nd Lt. Jake Jensen,Mikey,Perp,Zap-Em Man,Mr. Redgick,Mrs. Redgick,Passport Officer,News Vendor,Cop in Morgue,Police Inspector,Tow Truck Driver,Morgue Attendant,MIB Agent Bee,Cook,INS Agent 1,INS Agent 2,NYPD sergeant,Security Guard,Mrs. Edelson,Baseball Player,Alien Father,Alien Son,Frank the Pug,Worm Guy 1,Worm Guy 2,Worm Guy 3,Worm Guy 4
Agent K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Edwards / Agent J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. Laurel Weaver / Agent L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edgar / The Bug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chief Zed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Jeebs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gentle Rosenburg the Arquillian Jeweler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arquillian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS agent Janus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agent D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd Lt. Jake Jensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zap-Em Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Redgick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Redgick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passport Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
News Vendor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cop in Morgue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Police Inspector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tow Truck Driver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morgue Attendant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIB Agent Bee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS Agent 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INS Agent 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYPD sergeant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Security Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Edelson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseball Player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alien Father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alien Son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frank the Pug (voice),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worm Guy 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worm Guy 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worm Guy 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worm Guy 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
