chars,Katniss Everdeen,Peeta Mellark,Gale Hawthorne,Haymitch Abernathy,Effie Trinket,Cinna,Caesar Flickerman,President Snow,Seneca Crane,Claudius Templesmith,Cato,Clove,Rue,Primrose Everdeen,Hob Vendor,Katniss' Mother,Registration Woman,Propaganda Film Tribute,Peeta's Mother,Venia,Flavius,Octavia,Thresh,Glimmer,Marvel,Portia,Tribute Boy District 3,Tribute Girl District 3,Tribute Boy District 4,Fox Face,Tribute Girl District 8,Tribute Boy District 9,Tribute Girl District 9,Tribute Girl District 10,Atala,Hovercraft Tech,Katniss' Father,Coal Miner
Katniss Everdeen,0,2,2,2,2,2,5,5,5,0,3,3,2,1,5,1,5,0,0,5,5,5,5,3,3,5,3,3,3,3,3,3,3,3,5,5,1,0
Peeta Mellark,2,0,0,2,2,2,5,5,5,0,3,5,0,0,0,0,0,0,1,0,0,0,3,3,3,5,3,3,3,3,3,3,3,3,5,5,0,0
Gale Hawthorne,2,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haymitch Abernathy,2,2,0,0,2,2,5,5,5,0,3,,,,0,,,0,,,,,,,,,,,,,,,,,,,,0
Effie Trinket,2,2,5,2,0,2,5,5,5,0,,,,5,0,5,,0,,,,,,,,,,,,,,,,,,,,0
Cinna,2,2,0,2,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,2,,,,,,,,,,,,0
Caesar Flickerman,5,5,0,5,5,5,0,5,,5,5,5,5,,0,0,0,0,0,0,0,0,5,5,5,,,,,5,,,,,,,,0
President Snow,5,5,0,5,5,5,5,0,5,0,5,5,5,0,0,0,0,0,0,0,0,0,5,5,5,0,5,5,5,5,5,5,5,5,0,0,0,0
Seneca Crane,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
Claudius Templesmith,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cato,3,3,0,0,0,0,5,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,3,2,2,0,3,3,3,3,3,3,3,3,5,5,0,0
Clove,3,3,0,,,,5,5,,0,2,0,3,0,0,0,0,0,0,0,0,0,3,2,2,0,3,3,3,3,3,3,3,3,5,5,0,0
Rue,2,3,0,0,0,0,5,5,,0,3,3,0,0,0,0,0,0,0,0,0,0,2,3,3,0,3,3,3,3,3,3,3,3,5,5,0,0
Primrose Everdeen,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hob Vendor,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katniss' Mother,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Registration Woman,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,0
Propaganda Film Tribute,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peeta's Mother,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venia,5,0,0,0,0,0,0,0,,0,,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,0
Flavius,5,0,0,0,0,0,0,0,,0,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,0
Octavia,5,0,0,0,0,0,0,0,,0,,,,,0,,,0,,,,0,,,,,,,,,,,,,,,,0
Thresh,5,3,0,0,0,0,5,5,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,3,3,3,3,3,5,5,,0
Glimmer,3,3,0,0,0,0,5,5,0,0,2,2,3,0,0,0,0,0,0,,,,,0,2,,,,,,,,,,,,,0
